district_id,crop,risk_condition,recommendation,rationale,source_url,verified_grounded
rj_barmer,bajra,"Monsoon onset delayed, with rainfall received in the 2nd fortnight of July (up to July 25th)","Sow short-duration varieties of Bajra such as HHB-60, HHB-67, RHB-121, ICMH-356.",These short-duration varieties are suitable for sowing when monsoon rains are received within this delayed window.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGo8fwitIPpfKtnDn0j1Oze2zuNhB_7XaIluYgc9mDI1INa9RhipJIk5VSicG2Yette06dIo2WU5RwdlAW9wSiEoGsVHCdLA7aKOlI0avN4Duf0rZ2Dk4sioUF7p4h8nFO04uo0I3pSVdLKoD7WFVODXt76QLCMa0AO6T-6SQu8UEFmv_pSX5tqztpwhWFamtU6tY7_ApDzrjot-eCycIJzaDUH6fRLAW3Vtmaw6izOTONUiUWwpZ3-ejdAc8fB9-1U45jk07JL25jB,True
rj_barmer,guar,"Early season drought (monsoon onset delayed by 6 weeks, i.e., 3rd week of August)","Sow variety RGC-936, apply seed priming with 0.05% thio-urea, and increase seed rate by 15-20%.",These measures help in better crop establishment and drought tolerance for cluster bean under delayed monsoon conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGzaBbINCHzen_oqH5_3rMV2fzovvA03E8kG-fSCSz4nJCRKTYfO4Qd0tpfUajYJaJSwmCFsqeI5Aso7hSmZ9ZreIhozgAodBEdQN0jWv-FBJLWh0ZUDiKSpowwtfegUMyiI9MnemG1JxS-KVsthXrUxzuvsgMb8wbkzDvtPyBAZajP_xB9q7xGfpc_gg==,True
rj_jaisalmer,bajra,monsoon onset delayed by 4 weeks (2nd week of August),"Prefer varieties like HHB 67, ICMH 356.","These varieties are recommended for sowing even with a significant delay in monsoon onset, indicating their suitability for such conditions.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHqOsiGUnEQmtY6kO0K2YlGLj-0DM58eXZKC0k58inRWGoF7-ckwSlibWZWIpzbg9Emj8q1kmog-l47vwtIBJMoiyzNHg3wiIM69UCmWKWi670hCDrJlWr1yT-SzmJVEnlOGBaLvEDMKFx5qcPxMzBbLqbyczvmJsahktTfEJjzas2NSQUlcjn6YovT-k26YwI=,False
rj_jaisalmer,general,rainfall received in last week of August and first week of September,Avoid sowing of Kharif crops and instead sow Rabi crops like Taramira and mustard.,"Late monsoon rainfall in this period is unsuitable for Kharif crops, making Rabi crops a more viable option.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHeC2uSmKEGoGAOuRiT_m9ACkBSr8hEFdFxwbIUTKiiRIocTKjbCLNisQ6i7tU1XwEBwrxsDX75Ex56o12zpBtI-wTQvJIe_Qr9vSwXH-ba6VBvvyj5km3LZlpGXoxOwZXbDALhMLNb-RqrClDYK_uSWmWV0P0oatUGJgpmORGnlPn4Tz6gUxerazOvrjf2RRpBol-c9mh8fXwdy7a5LimXz2c3B9_KOuSdpykJqo98H6l21gn1NeY7aLUCwWZawDZc31HGsfApzB2ScA==,True
rj_jaisalmer,moong,no district-specific contingency plan found,consult the local Krishi Vigyan Kendra or agriculture extension officer,no citable source found for this district,,False
rj_jodhpur,"bajra, moth",Monsoon onset delayed up to 2-4 weeks (July 15th to 30th),"Sow short-duration varieties of Pearl millet (RHB-121, HHB-67 Improved, HHB-94, HHB-226, HHB-234) and Moth bean (RMO-40, RMO-257, RMO-225, RMO-435).",Short duration varieties are recommended to adapt to the delayed onset of monsoon.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHk1M_hUNyCW9sF7BK0FgqjBsK4awFCZMOGfgYlj43orfZrmAdAFxGNIsd-SFHNHIEaJCDGZn0MNmPD20zg73y25be_WHNPxP3-mgZj7cOGWDYqOR37QbmIITtyn1Wo_s0LSkXa-YjwS3JfeXBqZQUok85Cm1bWymjRBYyfy_sB9g1MTpg44OJOMae33LR2,False
rj_jodhpur,general,"Mid-season drought (long dry spell, consecutive 2 weeks rainless period)","Perform thinning to maintain optimum plant population, intercultural operations to conserve moisture and remove weeds, and foliar spray of 2% urea or 2% KNO3 or 1% Thiourea at flowering and grain filling stage. Provide life-saving irrigation if feasible.","These measures aim to conserve soil moisture, control weeds, and provide nutrients to the crop during dry spells.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHk1M_hUNyCW9sF7BK0FgqjBsK4awFCZMOGfgYlj43orfZrmAdAFxGNIsd-SFHNHIEaJCDGZn0MNmPD20zg73y25be_WHNPxP3-mgZj7cOGWDYqOR37QbmIITtyn1Wo_s0LSkXa-YjwS3JfeXBqZQUok85Cm1bWymjRBYyfy_sB9g1MTpg44OJOMae33LR2,False
rj_jodhpur,"bajra, moth",Terminal drought (early withdrawal of monsoon) or low rainfall,"Provide life-saving irrigation if feasible; if damage is severe, harvest the crop for fodder.",This allows for salvaging the crop either for grain or for animal feed under severe drought conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHk1M_hUNyCW9sF7BK0FgqjBsK4awFCZMOGfgYlj43orfZrmAdAFxGNIsd-SFHNHIEaJCDGZn0MNmPD20zg73y25be_WHNPxP3-mgZj7cOGWDYqOR37QbmIITtyn1Wo_s0LSkXa-YjwS3JfeXBqZQUok85Cm1bWymjRBYyfy_sB9g1MTpg44OJOMae33LR2,False
mp_sagar,soybean,monsoon onset delayed by 2 weeks (4th week of June) in deep black soils,"Utilize a blade harrow (Bakhar) for moisture conservation and weed control. Sow soybean on bunds. Treat seeds with a mixture of Thiram (1.5g) + Carbendazim (1.5g) per kg seed, followed by biofertilizers.","These practices are recommended for moisture conservation, weed management, and improved crop establishment to mitigate the impact of delayed monsoon.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG76x-aD7Mh2ryo8tHtk39LJE7roxFXjD4Ms0zZj5wtmbQFNCBdDdyPqp4Ap6ACamtRha3-ZkJchs_FGCrqmY5oNQnMRHwAEM365gQ6cFtTiSuP8ggJ5bgq3Lyr8a8Xb1VkwXKJbhfo0pGvyF5O-qyM_Wqs_zThjSEtBobvN81Bc5VCmL7b8A==,True
mp_sagar,urad,monsoon onset delayed by 2 weeks (4th week of June) in deep black soils,"Sow Blackgram (urad) on bunds. Treat seeds with a mixture of Thiram (1.5g) + Carbendazim (1.5g) per kg seed, followed by biofertilizers.",These practices are recommended for improved crop establishment and protection to mitigate the impact of delayed monsoon.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG76x-aD7Mh2ryo8tHtk39LJE7roxFXjD4Ms0zZj5wtmbQFNCBdDdyPqp4Ap6ACamtRha3-ZkJchs_FGCrqmY5oNQnMRHwAEM365gQ6cFtTiSuP8ggJ5bgq3Lyr8a8Xb1VkwXKJbhfo0pGvyF5O-qyM_Wqs_zThjSEtBobvN81Bc5VCmL7b8A==,True
mp_sagar,urad,monsoon onset delayed by 2 weeks (4th week of June) in shallow light black soils,"Consider substituting Blackgram (urad) with short-duration/drought-tolerant Pigeonpea varieties such as Number-148, JKM-7, JA-4, ICPL-85063 (Laxmi), or JKM-189.","These Pigeonpea varieties are recommended for their suitability in shallow light black soils under delayed monsoon conditions, offering a hardier alternative.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG76x-aD7Mh2ryo8tHtk39LJE7roxFXjD4Ms0zZj5wtmbQFNCBdDdyPqp4Ap6ACamtRha3-ZkJchs_FGCrqmY5oNQnMRHwAEM365gQ6cFtTiSuP8ggJ5bgq3Lyr8a8Xb1VkwXKJbhfo0pGvyF5O-qyM_Wqs_zThjSEtBobvN81Bc5VCmL7b8A==,True
br_gaya,maize,monsoon onset delayed beyond 4 weeks (3rd week of July),"Cultivate maize, specifically the Dewki variety, in upland areas.",Maize is a suitable alternative crop for delayed monsoon conditions in upland areas.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFuQLCtqjK-5aHLppoztkQqT4JJkaMbsu7otwG5EkQTKsjMqogN8l3YUHy2LTer8kW8QDM_-m1HfRw3PDIvbOIJkj1v7eQ4NLE7jYBhGp7HqCIveum5NeS1gJs2xPvMzo8nIcYMUvXiKbR7L14Usv6OdddTs5pCctuXcQQ0,False
br_gaya,paddy,"deficient rainfall leading to low paddy transplantation coverage (e.g., around 20%)",Switch from paddy to less water-intensive crops like maize.,"Paddy is a water-intensive crop, and deficient rainfall makes its cultivation challenging.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGOBJSr2bbVg4embEgPWYOf6gWXK1oEU8W5pQg4TOcFteSNA_6El6KqKUxdkcFBfp8SC9IGVs4qfZgsPucdfDJ_IeUEjOxEhRIS8xpGCOxBBkm4OZOABmI2423SDhYvhLqIqKcpv8Q40UU0E84TFOHopiTrx2zt-vzvnmkrGXfGGDC-sqsyZ1JTR29dqfkcxwCwjUsfeN6lcxHQosBghr87mwzpzDXv2IDwlIUM6DvkknLZyVI_GNdTlD2DiBhJfbdxv3VdTirAXgRqEv-n9u986g6nhoJ6-LESNz431JN6ru9VTKkFVXCBNz4HbDM=,False
br_gaya,general,delayed monsoon and deficient rainfall,"Promote short-duration and low-water-consuming crop varieties, and encourage crop diversification, intercropping, and mixed farming practices. Prioritize pulses, millets, and oilseeds.",These measures help in mitigating the impact of moisture stress and ensure agricultural productivity during adverse monsoon conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGkK_v7OeH79MCzJ5Itbsn_yz45cPoMjNaDlPrORXBVMrCjr-juqrnU7cxrRQaZrxF4XM7MEMHZUd8fIKPJB6D9TYgv7nAw151YpAEtxdUO1_PENl--db_cawbOFRc5clUTPCY2gSFMZrb8SspLdJOnEROcVlzdlr7aaEOvlFTxrDhY7XJZKZNC60QOqsyUNyE=,False
gj_kutch,general,no district-specific contingency plan found,consult the local Krishi Vigyan Kendra or agriculture extension officer,no citable source found for this district,,False
gj_banaskantha,groundnut,Normal monsoon onset followed by 15-20 days dry spell after sowing leading to poor germination/crop stand,"Maintain plant population by gap filling and thinning, re-sow if necessary, provide life-saving irrigation through micro-irrigation systems, control weeds, perform interculturing, keep one plant per hill, restrict fertilizer application if moisture is insufficient, implement in-situ moisture conservation by opening deep furrows, mulching, compartmental bunding, and soil mulching by shallow interculturing.","These measures aim to conserve soil moisture, optimize plant stand, and manage nutrient availability to mitigate the effects of early season drought.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEedUu9eHbTbnT8yutDGHB2bLoQD3OL8AdNsvQfIjcMA8QpF7Gbg849kHjuaNfJwH5MPNDV23hlrDQJyALF7jN7vWORxly61nYiNTx_gp9AzkdlKC9twlHr_IiAOo7Ti-y7PBcyEJVb7ryhUHz7G89h44xREHidjzZvk08Jas75OgIcfdcRv9w3EQXnY3uY-JoMgbyUuyk=,True
gj_banaskantha,bajra,"Mid-season drought (long dry spell, consecutive 2 weeks rainless (>2.5 mm) period) at vegetative stage","Reduce plant population by 15-20% by uprooting and use as mulch or fodder, perform shallow interculturing, and harvest one row of Bajra at an interval of 3 lines to use as fodder.","Reducing plant population and using harvested plants as fodder helps conserve moisture and provides feed, while interculturing aids in soil moisture retention during mid-season drought.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEedUu9eHbTbnT8yutDGHB2bLoQD3OL8AdNsvQfIjcMA8QpF7Gbg849kHjuaNfJwH5MPNDV23hlrDQJyALF7jN7vWORxly61nYiNTx_gp9AzkdlKC9twlHr_IiAOo7Ti-y7PBcyEJVb7ryhUHz7G89h44xREHidjzZvk08Jas75OgIcfdcRv9w3EQXnY3uY-JoMgbyUuyk=,True
gj_banaskantha,cotton,"Mid-season drought (long dry spell, consecutive 2 weeks rainless (>2.5 mm) period) at vegetative stage",Apply alternate furrow irrigation.,Alternate furrow irrigation is a water-saving technique recommended for cotton during periods of water scarcity to optimize water use.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEedUu9eHbTbnT8yutDGHB2bLoQD3OL8AdNsvQfIjcMA8QpF7Gbg849kHjuaNfJwH5MPNDV23hlrDQJyALF7jN7vWORxly61nYiNTx_gp9AzkdlKC9twlHr_IiAOo7Ti-y7PBcyEJVb7ryhUHz7G89h44xREHidjzZvk08Jas75OgIcfdcRv9w3EQXnY3uY-JoMgbyUuyk=,True
mp_chhatarpur,general,delayed onset of monsoon or around 40% of shortfall in rain,"Prefer short duration and drought tolerant Kharif crops like pearl millet (Bajra), sorghum (jowar), moth bean, urd bean, green gram, til, pigeon pea and groundnut.","These crops require about 200-350 mm of water, making them suitable for rainfall deficit conditions, while rainfed rice and soybean would be difficult to raise.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEOWf1sdrfBr7n66m7TLPLszX7JtsEA9fgfAqxoHUkRRbUb5ZUm59aMaFFGK8wxfMWze48IlNIw2SSe_7WmuXU9edKnim1sgSoC2_p8-CrtIk707q2QAolJ-_cUt7uwLZCk2LHShGIb0qsrlizFB__axHasdQqn47goTaDBpknvq_iKaCeCll0pqRd91KV0HAHhZNWRHec4qAp1iOObSQRQtET1D2G0h_wK,True
mp_chhatarpur,soybean,"After the arrival of the monsoon, but with potential for deficient rainfall","Sow disease- and pest-resistant soybean varieties such as JS 21-72, RVS 2002-4, RVSM 2011-35, Indore Soya 130, JS 20-29, JS 20-34, JS 20-69, JS 20-94, JS 20-98, JS 20-116, NRC-38, NRC-86, NRC-127, and NRC-150, after about 100 mm of rainfall, using Broad Bed Furrow (BBF) or Ridge & Furrow method.","These varieties are recommended for soybean sowing in Madhya Pradesh, and BBF/Ridge & Furrow methods are advised for efficient water management.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFCVXdgCLpewM3hiN79JsjcP6BpMu_W1gFJoK0bjKYeX-RYHO7n6CwrDLBMxlfRfe7w-4UQRPi_KXIre1IPbSbY8qXY8wZPA_zXBcuVoPTMx-Iwe8UQHgEeoZtmLRC_IOfoDST7cZamdWG7ml_iU5nZZPo=,True
cg_mahasamund,general,Anticipated below-normal rainfall due to El Nino / Deficient monsoon conditions,Adopt weather-responsive crop planning by reducing dependence on paddy and shifting towards crops that require less water.,This helps farmers minimize risks associated with uncertain rainfall and safeguard their incomes.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEO5mbQuVFJNtjRw9veKjEsU5wDjsP3Pl2Vr_hgzEULViCqC-xZH0g4fwA4sCHEopPwtITEXlS-SZNPV9VV0L9x_0CdqFgAJNiQZ8XJpHun2_QEnli8t0zGYNFjTWA-UcZRKoIbxtfyen7iX6Fz5vbewhjp9tKLs_L3KB1Nh7WwH6sLxOnKqrRgrAZuqOuy0Ca65Y_CT4x6FtTFhHBfJzKrJR5OdpoF4D9L7edfU4wprt9YiQ7lc5flH3nZHaPtqw==,False
cg_mahasamund,paddy,Drought during Kharif season / need for less water requirement crops,"Cultivate alternative crops such as groundnut, arhar, jowar, bajra, soybean, kodo, ragi, moong, and black gram.","These crops require less moisture and water, making them suitable alternatives to water-intensive paddy in drought-prone areas.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEO5mbQuVFJNtjRw9veKjEsU5wDjsP3Pl2Vr_hgzEULViCqC-xZH0g4fwA4sCHEopPwtITEXlS-SZNPV9VV0L9x_0CdqFgAJNiQZ8XJpHun2_QEnli8t0zGYNFjTWA-UcZRKoIbxtfyen7iX6Fz5vbewhjp9tKLs_L3KB1Nh7WwH6sLxOnKqrRgrAZuqOuy0Ca65Y_CT4x6FtTFhHBfJzKrJR5OdpoF4D9L7edfU4wprt9YiQ7lc5flH3nZHaPtqw==,False
cg_mahasamund,paddy,Delayed monsoon / need for water conservation in paddy cultivation,"Practice direct sowing of rice (DSR), select short-duration paddy varieties like Indira Barani (95-120 days), minimize transplanting, and maintain 3-5 cm water depth in fields.","Direct sowing allows for better root spread and water efficiency, short-duration varieties are more resilient to delayed monsoons, and controlled water levels conserve water.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEO5mbQuVFJNtjRw9veKjEsU5wDjsP3Pl2Vr_hgzEULViCqC-xZH0g4fwA4sCHEopPwtITEXlS-SZNPV9VV0L9x_0CdqFgAJNiQZ8XJpHun2_QEnli8t0zGYNFjTWA-UcZRKoIbxtfyen7iX6Fz5vbewhjp9tKLs_L3KB1Nh7WwH6sLxOnKqrRgrAZuqOuy0Ca65Y_CT4x6FtTFhHBfJzKrJR5OdpoF4D9L7edfU4wprt9YiQ7lc5flH3nZHaPtqw==,False
up_banda,paddy,deficient rainfall/El Nino monsoon season in rain-fed areas,"Cultivate alternative, low-water crops such as millets (Sri Anna), maize, urad, mung, sesame, and pigeon pea instead of paddy.","Paddy cultivation is recommended only in areas with assured water resources, and these alternatives are low-water and drought-tolerant crops.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEQM3WD-Zwa6F6-eExo-01Ot6Owk2IprRwutJeIgLGqtQZ8Wl05w678KQd2h3fROZSRDVs3aYnT06te0KNh_6bQzuPwbK9ujjjgulQ0aJJ4i-uj6yAD7h-p4UmDpqKswk6WxSDJvnDoJbCrTTWBWw25lBQemnDlZnQbUtcWD70xGlrUBbWIDLyTfR25xGT1HC--Lqis9kT13mq10d53jQKkjjufleyXm5u8MhN2fNjUSjjs,True
up_banda,paddy,deficient rainfall/El Nino monsoon season (if paddy must be grown),Adopt the direct seeding method of rice (DSR) and select varieties that mature in a shorter period of time.,These methods are recommended for better production with less water.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEQM3WD-Zwa6F6-eExo-01Ot6Owk2IprRwutJeIgLGqtQZ8Wl05w678KQd2h3fROZSRDVs3aYnT06te0KNh_6bQzuPwbK9ujjjgulQ0aJJ4i-uj6yAD7h-p4UmDpqKswk6WxSDJvnDoJbCrTTWBWw25lBQemnDlZnQbUtcWD70xGlrUBbWIDLyTfR25xGT1HC--Lqis9kT13mq10d53jQKkjjufleyXm5u8MhN2fNjUSjjs,True
up_banda,tur,"delayed onset of monsoon or around 40% shortfall in rain, or mid-season drought at vegetative stage","Prefer short-duration and drought-tolerant pigeon pea varieties, and apply life-saving irrigation, straw mulch, thinning, and intercropping.","Short-duration and drought-tolerant varieties require less water, and these practices help cope with mid-season dry spells and improve yields.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG0t-F6ixYBJCTjf6QDcmtISkb0gb8BEezFP57se8-ohNGk0dB7JueafoNuatU1gYFszxWP3g-TZmOuxXF3v9lcA_Ua6G3jGNjsYlFyhGPLU1AM-pDRFwKpohP6-JemWnoTz2xbVf3AQYa40y5Kt9QtekfH8mLhSjtZZcuhNvB-MzLj_6TAJAuDiGWvzt_3Aq-FB0vTy4t5p7mmNSw67jsHi5FNylE0PkoO,True
up_chitrakoot,paddy,"deficient rainfall or delayed monsoon, especially in rain-fed areas","Cultivate paddy only in areas with assured water resources. For rain-fed cultivation, switch to crops like millets, maize, urad, mung, sesame, and pigeon pea. Adopt direct seeding method of rice (DSR) and select short-duration varieties. Build one-foot-high ridges in paddy fields to conserve rainwater.","These measures conserve water and are suitable for conditions with less water availability, and short-duration varieties can adapt to delayed monsoon.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEqFe7znSi0uxK9ZjMP5hvu9I1cPsrex-fLIL-85JWC9EOtXOtyR0Y4QCK-bSUVxNYmIxaDl8hH3UY30RIzod386oo7frz_-X292g0wfxqAfjKIZW3jEPDsb1NK-CZhcNuwguzCzP_IIaMQb7Y1maVElMOA_cjcDSX8kxGcF0y_5Ti_-QqRnuWJsCh6odJ9KlAxb3AJ6abF8nBZ2eBeDthVHhnCosZQZsiAgtrcXRi90C28ucw=,False
up_chitrakoot,maize,deficient rainfall or delayed monsoon,Grow pigeon pea or green gram along with maize under mixed farming. Consider hybrid and HQPM-1 varieties.,Mixed farming with pulses helps in risk diversification and potentially better resource utilization under water stress.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEqFe7znSi0uxK9ZjMP5hvu9I1cPsrex-fLIL-85JWC9EOtXOtyR0Y4QCK-bSUVxNYmIxaDl8hH3UY30RIzod386oo7frz_-X292g0wfxqAfjKIZW3jEPDsb1NK-CZhcNuwguzCzP_IIaMQb7Y1maVElMOA_cjcDSX8kxGcF0y_5Ti_-QqRnuWJsCh6odJ9KlAxb3AJ6abF8nBZ2eBeDthVHhnCosZQZsiAgtrcXRi90C28ucw=,False
up_chitrakoot,general,"delayed onset of monsoon or significant shortfall in rain (e.g., 40% shortfall)","Prefer short-duration and drought-tolerant Kharif crops like pearl millet (Bajra), sorghum (jowar), moth bean, urd bean, green gram, til, pigeon pea, and groundnut. Promote short-duration crop varieties and those capable of delivering higher yields with lower water requirements. Adopt crop diversification, intercropping, and mixed farming practices.","These crops require less water and mature faster, reducing risk under deficient rainfall. Diversification helps mitigate risks if one crop fails.",,False
jh_palamu,general,"Anticipated poor monsoon/below-normal rainfall due to El Nino effect, leading to drought-like conditions.","Promote cultivation of short-duration, low water-requiring, and high-value crops such as maize, pulses (Urad, Moong), oilseeds, millets (Madua/Ragi), and Soyabean, particularly in upland areas.",To minimize production risk and reduce dependence on water-intensive crops like paddy during deficient rainfall.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEFBL6T2_kWiXqZiw7ZEB-fX0MYu_sL6405mWUNrp6Gird2FU_ei8m6xq2UZ20dS3-nYL9FaMlLWpJ-LcCHE93uykb3YtUBbD4POaBEI7kGSvw8hobs1Yo-vCRBAyMdGS_jtqf-TqSuxUU8HbfBQ2tddAbXZ42A5RXkjTvgdxTsmlmkDqDlsHVWwHQcLHuRNYltq8zU3ynw6KBBE_qLxuELm7ZhTdfDxH2gPoNLz-0-CgwPBxdFJXP9jplHhVBXWnolMP5FmT8bWIRoG3mTwErNarmALiHQu38boGlFEQ==,False
jh_palamu,paddy,"Scanty rainfall in June and delayed monsoon, making normal sowing difficult.",Extend paddy sowing activity until the first week of August.,Changes in rainfall patterns over recent years have shown that sowing can be extended beyond the traditional July 15 deadline.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHU7U05vS1TrJZOFsKP-ZFOhNJYigYg_rGd8pUSgCZS-a_M0Bb3Pf5V8dNVSGrOzrkPVHANGTJU45Vh8N-BfDHP-RClMukCYVv6Iu2cZ5VKRjDKKVS2dMFAXOHuXSyw5N62NhipQgmy_nmNkYY6Tj1dwyBgvTqFsHaXC4FV0JL1hU43iMTVUfBJ2ew2CArMkX1floFyqVDeBld52WX-QsNsJQ==,False
jh_palamu,general,Deficit rainfall or delayed monsoon.,"Implement water management technologies such as community nurseries, rainwater harvesting in plastic-lined Dobhas, increasing field bund height, and mulching with polythene sheets.",These technologies help minimize the impact of deficit rainfall or delayed monsoon.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHheUiwvkvxgWUSI5HEpH7sJc0EaR8_W0HQOMlMbMNEvruk0jeUuPZPVIyWd-1odxNk-o3-wwi_y32qZoTb1Hca_GiHSw372c4ro8hvPTWF04C-o6EA1Z0Oock=,False
